Team,W,L,G,AB,PA,H,1B,2B,3B,HR,R,RA,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
Astros,107,55,2309,5613,6394,1538,899,323,28,288,920,640,891,645,17,1166,66,57,10,146,67,27,0.274
Twins,101,61,2320,5732,6392,1547,899,318,23,307,939,754,906,525,21,1334,81,41,10,101,28,21,0.27
Red Sox,84,78,2455,5770,6475,1554,937,345,27,245,901,828,857,590,36,1382,49,44,20,127,68,30,0.269
Yankees,103,59,2312,5583,6245,1493,880,290,17,306,943,739,904,569,18,1437,49,33,10,113,55,22,0.267
Rockies,71,91,2452,5660,6288,1502,914,323,41,224,835,958,803,489,25,1503,43,43,51,111,71,31,0.265
Nationals,93,69,2327,5512,6267,1460,904,298,27,231,873,724,824,584,33,1308,81,42,48,117,116,29,0.265
Pirates,69,93,2441,5657,6228,1497,981,315,38,163,758,911,722,425,41,1213,63,34,47,119,64,29,0.265
White Sox,72,89,2311,5529,6042,1443,981,260,20,182,708,832,676,378,13,1549,66,32,36,114,63,28,0.261
Braves,97,65,2411,5560,6302,1432,877,277,29,249,855,743,824,619,39,1467,60,35,25,104,89,28,0.258
Dodgers,106,56,2413,5493,6281,1414,813,302,20,279,886,613,861,607,47,1356,81,45,55,100,57,10,0.257
Mets,86,76,2445,5624,6290,1445,906,280,17,242,791,737,767,516,34,1384,95,27,28,129,56,27,0.257
Rays,96,66,2459,5628,6285,1427,890,291,29,217,769,656,730,542,20,1493,73,34,8,114,94,37,0.254
Cubs,84,78,2429,5461,6195,1378,826,270,26,256,814,717,783,581,33,1460,83,39,30,127,45,24,0.252
Diamondbacks,85,77,2418,5633,6315,1419,871,288,40,220,813,743,778,540,36,1360,70,40,31,120,88,14,0.252
Indians,93,69,2321,5425,6124,1354,827,286,18,223,769,657,731,563,30,1332,50,46,40,110,103,35,0.25
Athletics,97,65,2363,5561,6269,1384,812,292,23,257,845,680,800,578,17,1338,87,36,7,140,49,21,0.249
Rangers,78,84,2273,5540,6204,1374,831,296,24,223,810,878,765,534,18,1578,67,44,17,98,131,38,0.248
Angels,72,90,2425,5542,6251,1368,859,268,21,220,769,868,734,586,29,1276,67,42,4,143,65,20,0.247
Royals,59,103,2269,5496,6080,1356,873,281,40,162,691,869,655,456,17,1405,59,42,24,113,117,39,0.247
Brewers,89,73,2514,5542,6309,1366,820,279,17,250,769,766,744,629,42,1563,72,38,20,120,101,25,0.246
Orioles,54,108,2386,5596,6189,1379,889,252,25,213,729,981,698,462,8,1435,71,37,22,111,84,30,0.246
Phillies,81,81,2431,5571,6261,1369,817,311,26,215,774,794,742,562,47,1453,57,34,34,97,78,18,0.246
Cardinals,91,71,2413,5449,6167,1336,856,246,24,210,764,662,714,561,15,1420,76,39,40,110,116,29,0.245
Reds,75,87,2462,5450,6100,1328,839,235,27,227,701,711,679,492,25,1436,89,33,30,111,80,38,0.244
Marlins,57,105,2402,5512,6045,1326,897,265,18,146,615,808,593,395,16,1469,73,33,31,139,55,30,0.241
Tigers,47,114,2316,5549,6039,1333,851,292,41,149,582,915,556,391,14,1595,48,42,9,108,57,20,0.24
Giants,77,85,4.38,5579,6170,1332,839,300,26,167,678,773,655,475,26,1435,50,42,24,111,47,28,0.239
Padres,70,92,2413,5391,6019,1281,814,224,24,219,682,789,652,504,19,1581,55,31,37,120,70,37,0.238
Mariners,68,94,2347,5500,6199,1305,784,254,28,239,758,893,730,588,7,1581,58,37,14,83,115,47,0.237
Blue Jays,67,95,2354,5493,6091,1299,761,270,21,247,726,828,697,509,10,1514,45,28,14,107,51,20,0.236
