pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment
CU,9/14/2019,85.7,-0.5902,6.6685,Max Kepler,596146,675916,strikeout,swinging_strike,n/a,n/a,n/a,n/a,14,Max Kepler strikes out swinging.   Max Kepler to 1st.  Wild pitch by pitcher James Karinchak.  ,R,L,R,CLE,MIN,S,null,null,0,2,2019,-0.0839,-1.1958,0.198,0.2093,null,null,null,1,9,Top,null,null,n/a,n/a,606992,n/a,190915_015912,1.9975,-124.6373,-6.5681,-1.2449,24.5171,-43.2765,3.4,1.64,null,null,null,84.611,2687,5.562,565389,675916,606992,467793,502273,475247,596019,656185,640458,624577,54.9378,null,null,0,1,0,0,null,72,4,Curveball,5,9,9,5,9,5,9,5,Infield shift,Standard
CU,9/14/2019,86.2,-0.4385,6.6667,Max Kepler,596146,675916,null,foul,n/a,n/a,n/a,n/a,8,null,R,L,R,CLE,MIN,S,null,null,0,2,2019,0.3271,-1.1117,0.0732,1.9489,null,null,null,1,9,Top,null,null,n/a,n/a,606992,n/a,190915_015846,0.5681,-125.2841,-2.7472,3.1821,25.7544,-43.1037,3.4,1.64,7,70.7,-16.4,84.273,2852,5.133,565389,675916,606992,467793,502273,475247,596019,656185,640458,624577,55.3666,null,null,null,null,null,null,null,72,3,Curveball,5,9,9,5,9,5,9,5,Infield shift,Standard
FF,9/14/2019,97.6,-0.6487,6.5828,Max Kepler,596146,675916,null,swinging_strike,n/a,n/a,n/a,n/a,3,null,R,L,R,CLE,MIN,S,null,null,0,1,2019,-0.4206,1.7687,0.3253,3.3369,null,null,null,1,9,Top,null,null,n/a,n/a,606992,n/a,190915_015828,3.5369,-141.7609,-7.106,-6.4123,34.5327,-7.3573,3.4,1.64,null,null,null,96.438,2540,5.876,565389,675916,606992,467793,502273,475247,596019,656185,640458,624577,54.6238,null,null,null,null,null,null,null,72,2,4-Seam Fastball,5,9,9,5,9,5,9,5,Infield shift,Standard
CU,9/14/2019,83.8,-0.6802,6.63,Max Kepler,596146,675916,null,called_strike,n/a,n/a,n/a,n/a,3,null,R,L,R,CLE,MIN,S,null,null,0,0,2019,0.4354,-1.1224,0.7498,3.2344,null,null,null,1,9,Top,null,null,n/a,n/a,606992,n/a,190915_015812,2.4283,-121.7967,0.7019,3.6876,24.4618,-43.3508,3.4348,1.6281,null,null,null,82.181,2588,5.319,565389,675916,606992,467793,502273,475247,596019,656185,640458,624577,55.1807,null,null,null,null,null,null,null,72,1,Curveball,5,9,9,5,9,5,9,5,Infield shift,Standard
SI,9/14/2019,89.8,2.5653,5.251,Max Kepler,596146,424144,force_out,hit_into_play,n/a,n/a,n/a,n/a,5,Max Kepler grounds into a force out; first baseman Carlos Santana to shortstop Francisco Lindor.   Ian Miller out at 2nd.  Max Kepler advances to 2nd; on a throwing error by shortstop Francisco Lindor.  ,R,L,L,CLE,MIN,X,6,ground_ball,0,0,2019,1.5107,0.4883,-0.2203,2.2685,null,null,641878,0,8,Top,146.39,175.59,n/a,n/a,608700,n/a,190915_013104,-9.9177,-130.2877,-2.3817,18.955,26.1596,-26.4421,3.4,1.64,3,78.3,-40.2,88.994,2193,5.854,565389,424144,608700,467793,502273,475247,596019,656185,640458,624577,54.6456,0.032,0.032,0,1,0,0,2,60,1,Sinker,5,4,4,5,4,5,4,5,Infield shift,Standard
CU,9/14/2019,78.1,-1.0353,5.9018,Max Kepler,596146,605182,strikeout,swinging_strike_blocked,n/a,n/a,n/a,n/a,14,Max Kepler strikes out swinging; catcher Roberto Perez to first baseman Carlos Santana.  ,R,L,R,CLE,MIN,S,2,null,0,2,2019,0.9402,-0.8505,0.002,0.6921,null,null,null,2,7,Top,null,null,n/a,n/a,547379,n/a,190914_190449,0.5158,-113.769,-2.8343,8.0572,19.6827,-39.2643,3.2582,1.521,null,null,null,78.198,2382,6.172,565388,605182,547379,467793,543401,644374,596019,656185,640458,624577,54.3273,null,null,0,1,0,0,null,51,3,Curveball,0,2,2,0,2,0,2,0,Infield shift,Strategic
CU,9/14/2019,77.9,-0.9809,5.8706,Max Kepler,596146,605182,null,swinging_strike,n/a,n/a,n/a,n/a,8,null,R,L,R,CLE,MIN,S,null,null,0,1,2019,0.6303,-1.0528,-0.2564,1.9898,null,null,null,2,7,Top,null,null,n/a,n/a,547379,n/a,190914_190425,0.4196,-113.473,0.3423,5.3413,17.8825,-41.4668,3.3508,1.5887,null,null,null,77.815,2327,5.864,565388,605182,547379,467793,543401,644374,596019,656185,640458,624577,54.6358,null,null,null,null,null,null,null,51,2,Curveball,0,2,2,0,2,0,2,0,Infield shift,Strategic
CU,9/14/2019,77.5,-0.8994,5.9211,Max Kepler,596146,605182,null,called_strike,n/a,n/a,n/a,n/a,14,null,R,L,R,CLE,MIN,S,null,null,0,0,2019,0.9757,-0.8985,0.8568,1.9353,null,null,null,2,7,Top,null,null,n/a,n/a,547379,n/a,190914_190409,1.9802,-112.8165,0.0192,7.9336,19.9874,-40.0261,3.38,1.646,null,null,null,77.399,2491,6.138,565388,605182,547379,467793,543401,644374,596019,656185,640458,624577,54.3614,null,null,null,null,null,null,null,51,1,Curveball,0,2,2,0,2,0,2,0,Infield shift,Strategic
FT,9/14/2019,91.3,-1.8196,5.5768,Max Kepler,596146,471911,field_out,hit_into_play,n/a,n/a,n/a,n/a,8,Max Kepler grounds out sharply; second baseman Mike Freeman to first baseman Carlos Santana.  ,R,L,R,CLE,MIN,X,4,ground_ball,0,0,2019,-1.2325,0.6913,-0.0437,1.8843,null,null,null,1,6,Top,158.58,143.59,n/a,n/a,608700,n/a,190915_005805,7.142,-132.7966,-4.9117,-16.1392,28.0149,-23.1381,3.4,1.64,11,100.4,-9.7,91.539,2175,6.425,565389,471911,608700,467793,502273,475247,596019,656669,640458,624577,54.0748,0.312,0.254,0,1,0,0,2,45,1,2-Seam Fastball,5,2,2,5,2,5,2,5,Infield shift,Standard
FF,9/14/2019,95.1,-1.2192,5.7697,Max Kepler,596146,605182,field_out,hit_into_play,n/a,n/a,n/a,n/a,8,Max Kepler lines out to left fielder Jordan Luplow.  ,R,L,R,CLE,MIN,X,7,line_drive,3,1,2019,-0.5268,1.6373,0.0589,2.1214,null,null,null,1,5,Top,81.76,84.19,n/a,n/a,547379,n/a,190914_183014,4.5542,-138.3569,-7.6676,-7.779,28.5316,-9.5246,3.3853,1.65,292,89,20.2,95.753,2380,6.508,565388,605182,547379,467793,543401,644374,596019,656669,640458,624577,53.9918,0.34,0.335,0,1,0,0,4,34,5,4-Seam Fastball,0,2,2,0,2,0,2,0,Infield shift,Standard
